score_threshold,equal_investment,technical_weight,sentiment_weight,min_market_cap,max_market_cap,total_operations,roi,avg_profit_per_op,win_rate
0.35,True,0,1,10000000,1000000000,177,-3.30045197740113,-3.30045197740113,42.9375141242938
0.3,True,0,1,10000000,1000000000,213,-3.24948356807512,-3.24948356807512,42.72220657277
0.2,True,0.2,0.8,10000000,1000000000,261,-3.04854406130268,-3.04854406130268,42.1419923371648
0.35,False,1,0,1000000000,100000000000000,8,-2.4825,-2.915,37.4975
0.35,True,0.2,0.8,10000000,1000000000,104,-2.78096153846154,-2.78096153846154,44.2317307692308
0.3,True,0.2,0.8,10000000,1000000000,146,-2.64972602739726,-2.64972602739726,45.2080136986301
0.2,True,0,1,10000000,1000000000,314,-2.57315286624204,-2.57315286624204,42.3564012738853
0.25,True,0,1,10000000,1000000000,272,-2.49367647058824,-2.49367647058824,43.3848161764706
0.15,True,0.2,0.8,10000000,1000000000,325,-2.46923076923077,-2.46923076923077,43.0734153846154
0.35,True,0.4,0.6,10000000,1000000000,44,-2.42636363636364,-2.42636363636364,54.5484090909091
0.25,True,0.4,0.6,10000000,1000000000,126,-2.41587301587302,-2.41587301587302,44.4452380952381
0.35,False,0.95,0.05,1000000000,100000000000000,7,-1.72428571428571,-2.36857142857143,42.8571428571429
0.3,True,0.4,0.6,10000000,1000000000,77,-2.33766233766234,-2.33766233766234,49.3476623376623
0.15,True,0.4,0.6,10000000,1000000000,276,-2.295,-2.295,43.479347826087
0.25,True,0.2,0.8,10000000,1000000000,196,-2.23408163265306,-2.23408163265306,43.8779591836735
0.3,True,0.6,0.4,10000000,1000000000,27,-2.22777777777778,-2.22777777777778,55.5577777777778
0.35,True,0.85,0.15,1000000000,100000000000000,5,-2.208,-2.208,20
0.35,False,0.95,0.05,100000000,1000000000000,8,-1.14125,-2.07125,50
0.2,True,0.6,0.4,10000000,1000000000,128,-1.977421875,-1.977421875,46.8728125
0.1,True,0.2,0.8,10000000,1000000000,405,-1.94412345679012,-1.94412345679012,43.2106666666667
0.15,True,0,1,10000000,1000000000,382,-1.91068062827225,-1.91068062827225,42.6681413612565
0.35,True,0.85,0.15,100000000,1000000000000,7,-1.74285714285714,-1.74285714285714,28.5714285714286
0.35,False,1,0,100000000,1000000000000,13,-1.33615384615385,-1.72615384615385,53.8469230769231
0.1,True,0.4,0.6,10000000,1000000000,400,-1.699,-1.699,46.2488
-1,True,0,1,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-1,True,0.2,0.8,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-1,True,0.4,0.6,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-1,True,0.6,0.4,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-1,True,0.7,0.3,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-1,True,0.75,0.25,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-1,True,0.8,0.2,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-1,True,0.85,0.15,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-1,True,0.9,0.1,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-1,True,0.95,0.05,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-1,True,1,0,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-0.5,True,0.4,0.6,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-0.5,True,0.6,0.4,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-0.5,True,0.7,0.3,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-0.5,True,0.75,0.25,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-0.5,True,0.8,0.2,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-0.5,True,0.85,0.15,10000000,1000000000,1426,-1.64319775596073,-1.64319775596073,44.600350631136
-0.5,True,0.9,0.1,10000000,1000000000,1425,-1.64202105263158,-1.64202105263158,44.6344
-0.5,True,0.95,0.05,10000000,1000000000,1425,-1.64202105263158,-1.64202105263158,44.6344
-0.5,True,1,0,10000000,1000000000,1425,-1.64202105263158,-1.64202105263158,44.6344
-0.5,True,0,1,10000000,1000000000,1413,-1.62115357395612,-1.62115357395612,44.6542675159236
-0.5,True,0.2,0.8,10000000,1000000000,1420,-1.59583802816901,-1.59583802816901,44.7180070422535
0.35,True,0.9,0.1,1000000000,100000000000000,6,-1.59,-1.59,33.3333333333333
0,True,0,1,10000000,1000000000,1267,-1.54700868192581,-1.54700868192581,44.5963693764799
