equal_investment,min_market_cap,max_market_cap,min_score_threshold,technical_weight,sentiment_weight,total_operations,roi,avg_profit_per_op,win_rate
1,1,100000000000000,-1,0.0,1.0,1195,0.97,0.97,55.31
1,1000000,100000000000000,-1,0.0,1.0,1195,0.97,0.97,55.31
1,10000000,100000000000000,-1,0.0,1.0,1180,0.93,0.93,55.34
1,10000000,1000000000,-1,0.0,1.0,333,1.61,1.61,58.26
1,50000000,10000000000,-1,0.0,1.0,785,1.15,1.15,56.18
1,100000000,1000000000000,-1,0.0,1.0,1128,1.05,1.05,55.5
1,1000000000,100000000000000,-1,0.0,1.0,847,0.67,0.67,54.19
1,1,100000000000000,-1,0.2,0.8,1195,0.97,0.97,55.31
1,1000000,100000000000000,-1,0.2,0.8,1195,0.97,0.97,55.31
1,10000000,100000000000000,-1,0.2,0.8,1180,0.93,0.93,55.34
1,10000000,1000000000,-1,0.2,0.8,333,1.61,1.61,58.26
1,50000000,10000000000,-1,0.2,0.8,785,1.15,1.15,56.18
1,100000000,1000000000000,-1,0.2,0.8,1128,1.05,1.05,55.5
1,1000000000,100000000000000,-1,0.2,0.8,847,0.67,0.67,54.19
1,1,100000000000000,-1,0.4,0.6,1195,0.97,0.97,55.31
1,1000000,100000000000000,-1,0.4,0.6,1195,0.97,0.97,55.31
1,10000000,100000000000000,-1,0.4,0.6,1180,0.93,0.93,55.34
1,10000000,1000000000,-1,0.4,0.6,333,1.61,1.61,58.26
1,50000000,10000000000,-1,0.4,0.6,785,1.15,1.15,56.18
1,100000000,1000000000000,-1,0.4,0.6,1128,1.05,1.05,55.5
1,1000000000,100000000000000,-1,0.4,0.6,847,0.67,0.67,54.19
1,1,100000000000000,-1,0.6,0.4,1195,0.97,0.97,55.31
1,1000000,100000000000000,-1,0.6,0.4,1195,0.97,0.97,55.31
1,10000000,100000000000000,-1,0.6,0.4,1180,0.93,0.93,55.34
1,10000000,1000000000,-1,0.6,0.4,333,1.61,1.61,58.26
1,50000000,10000000000,-1,0.6,0.4,785,1.15,1.15,56.18
1,100000000,1000000000000,-1,0.6,0.4,1128,1.05,1.05,55.5
1,1000000000,100000000000000,-1,0.6,0.4,847,0.67,0.67,54.19
1,1,100000000000000,-1,0.7,0.3,1195,0.97,0.97,55.31
1,1000000,100000000000000,-1,0.7,0.3,1195,0.97,0.97,55.31
1,10000000,100000000000000,-1,0.7,0.3,1180,0.93,0.93,55.34
1,10000000,1000000000,-1,0.7,0.3,333,1.61,1.61,58.26
1,50000000,10000000000,-1,0.7,0.3,785,1.15,1.15,56.18
1,100000000,1000000000000,-1,0.7,0.3,1128,1.05,1.05,55.5
1,1000000000,100000000000000,-1,0.7,0.3,847,0.67,0.67,54.19
1,1,100000000000000,-1,0.75,0.25,1195,0.97,0.97,55.31
1,1000000,100000000000000,-1,0.75,0.25,1195,0.97,0.97,55.31
1,10000000,100000000000000,-1,0.75,0.25,1180,0.93,0.93,55.34
