equal_investment,min_market_cap,max_market_cap,min_score_threshold,technical_weight,sentiment_weight,total_operations,roi,avg_profit_per_op,win_rate
1,1,100000000000000,-1,0.0,1.0,637,0.17,0.17,54.32
1,1000000,100000000000000,-1,0.0,1.0,637,0.17,0.17,54.32
1,10000000,100000000000000,-1,0.0,1.0,634,0.2,0.2,54.42
1,10000000,1000000000,-1,0.0,1.0,183,-0.09,-0.09,55.74
1,50000000,10000000000,-1,0.0,1.0,414,0.03,0.03,54.59
1,100000000,1000000000000,-1,0.0,1.0,615,0.31,0.31,54.96
1,1000000000,100000000000000,-1,0.0,1.0,451,0.32,0.32,53.88
1,1,100000000000000,-1,0.2,0.8,637,0.17,0.17,54.32
1,1000000,100000000000000,-1,0.2,0.8,637,0.17,0.17,54.32
1,10000000,100000000000000,-1,0.2,0.8,634,0.2,0.2,54.42
1,10000000,1000000000,-1,0.2,0.8,183,-0.09,-0.09,55.74
1,50000000,10000000000,-1,0.2,0.8,414,0.03,0.03,54.59
1,100000000,1000000000000,-1,0.2,0.8,615,0.31,0.31,54.96
1,1000000000,100000000000000,-1,0.2,0.8,451,0.32,0.32,53.88
1,1,100000000000000,-1,0.4,0.6,637,0.17,0.17,54.32
1,1000000,100000000000000,-1,0.4,0.6,637,0.17,0.17,54.32
1,10000000,100000000000000,-1,0.4,0.6,634,0.2,0.2,54.42
1,10000000,1000000000,-1,0.4,0.6,183,-0.09,-0.09,55.74
1,50000000,10000000000,-1,0.4,0.6,414,0.03,0.03,54.59
1,100000000,1000000000000,-1,0.4,0.6,615,0.31,0.31,54.96
1,1000000000,100000000000000,-1,0.4,0.6,451,0.32,0.32,53.88
1,1,100000000000000,-1,0.6,0.4,637,0.17,0.17,54.32
1,1000000,100000000000000,-1,0.6,0.4,637,0.17,0.17,54.32
1,10000000,100000000000000,-1,0.6,0.4,634,0.2,0.2,54.42
1,10000000,1000000000,-1,0.6,0.4,183,-0.09,-0.09,55.74
1,50000000,10000000000,-1,0.6,0.4,414,0.03,0.03,54.59
1,100000000,1000000000000,-1,0.6,0.4,615,0.31,0.31,54.96
1,1000000000,100000000000000,-1,0.6,0.4,451,0.32,0.32,53.88
1,1,100000000000000,-1,0.7,0.3,637,0.17,0.17,54.32
1,1000000,100000000000000,-1,0.7,0.3,637,0.17,0.17,54.32
1,10000000,100000000000000,-1,0.7,0.3,634,0.2,0.2,54.42
1,10000000,1000000000,-1,0.7,0.3,183,-0.09,-0.09,55.74
1,50000000,10000000000,-1,0.7,0.3,414,0.03,0.03,54.59
1,100000000,1000000000000,-1,0.7,0.3,615,0.31,0.31,54.96
1,1000000000,100000000000000,-1,0.7,0.3,451,0.32,0.32,53.88
1,1,100000000000000,-1,0.75,0.25,637,0.17,0.17,54.32
1,1000000,100000000000000,-1,0.75,0.25,637,0.17,0.17,54.32
1,10000000,100000000000000,-1,0.75,0.25,634,0.2,0.2,54.42
1,10000000,1000000000,-1,0.75,0.25,183,-0.09,-0.09,55.74
1,50000000,10000000000,-1,0.75,0.25,414,0.03,0.03,54.59
1,100000000,1000000000000,-1,0.75,0.25,615,0.31,0.31,54.96
1,1000000000,100000000000000,-1,0.75,0.25,451,0.32,0.32,53.88
1,1,100000000000000,-1,0.8,0.2,637,0.17,0.17,54.32
1,1000000,100000000000000,-1,0.8,0.2,637,0.17,0.17,54.32
1,10000000,100000000000000,-1,0.8,0.2,634,0.2,0.2,54.42
1,10000000,1000000000,-1,0.8,0.2,183,-0.09,-0.09,55.74
1,50000000,10000000000,-1,0.8,0.2,414,0.03,0.03,54.59
1,100000000,1000000000000,-1,0.8,0.2,615,0.31,0.31,54.96
1,1000000000,100000000000000,-1,0.8,0.2,451,0.32,0.32,53.88
1,1,100000000000000,-1,0.85,0.15,637,0.17,0.17,54.32
1,1000000,100000000000000,-1,0.85,0.15,637,0.17,0.17,54.32
1,10000000,100000000000000,-1,0.85,0.15,634,0.2,0.2,54.42
1,10000000,1000000000,-1,0.85,0.15,183,-0.09,-0.09,55.74
1,50000000,10000000000,-1,0.85,0.15,414,0.03,0.03,54.59
1,100000000,1000000000000,-1,0.85,0.15,615,0.31,0.31,54.96
1,1000000000,100000000000000,-1,0.85,0.15,451,0.32,0.32,53.88
1,1,100000000000000,-1,0.9,0.1,637,0.17,0.17,54.32
1,1000000,100000000000000,-1,0.9,0.1,637,0.17,0.17,54.32
1,10000000,100000000000000,-1,0.9,0.1,634,0.2,0.2,54.42
1,10000000,1000000000,-1,0.9,0.1,183,-0.09,-0.09,55.74
1,50000000,10000000000,-1,0.9,0.1,414,0.03,0.03,54.59
1,100000000,1000000000000,-1,0.9,0.1,615,0.31,0.31,54.96
1,1000000000,100000000000000,-1,0.9,0.1,451,0.32,0.32,53.88
1,1,100000000000000,-1,0.95,0.05,637,0.17,0.17,54.32
1,1000000,100000000000000,-1,0.95,0.05,637,0.17,0.17,54.32
1,10000000,100000000000000,-1,0.95,0.05,634,0.2,0.2,54.42
1,10000000,1000000000,-1,0.95,0.05,183,-0.09,-0.09,55.74
1,50000000,10000000000,-1,0.95,0.05,414,0.03,0.03,54.59
1,100000000,1000000000000,-1,0.95,0.05,615,0.31,0.31,54.96
1,1000000000,100000000000000,-1,0.95,0.05,451,0.32,0.32,53.88
1,1,100000000000000,-1,1.0,0.0,637,0.17,0.17,54.32
1,1000000,100000000000000,-1,1.0,0.0,637,0.17,0.17,54.32
1,10000000,100000000000000,-1,1.0,0.0,634,0.2,0.2,54.42
1,10000000,1000000000,-1,1.0,0.0,183,-0.09,-0.09,55.74
1,50000000,10000000000,-1,1.0,0.0,414,0.03,0.03,54.59
1,100000000,1000000000000,-1,1.0,0.0,615,0.31,0.31,54.96
1,1000000000,100000000000000,-1,1.0,0.0,451,0.32,0.32,53.88
