equal_investment,min_market_cap,max_market_cap,min_score_threshold,technical_weight,sentiment_weight,total_operations,roi,avg_profit_per_op,win_rate
1,1,100000000000000,-1,0.0,1.0,1204,-2.36,-2.36,39.12
1,1000000,100000000000000,-1,0.0,1.0,1204,-2.36,-2.36,39.12
1,10000000,100000000000000,-1,0.0,1.0,1122,-2.21,-2.21,40.64
1,10000000,1000000000,-1,0.0,1.0,823,-3.32,-3.32,37.18
1,50000000,10000000000,-1,0.0,1.0,885,-1.53,-1.53,42.37
1,100000000,1000000000000,-1,0.0,1.0,831,-0.6,-0.6,45.97
1,1000000000,100000000000000,-1,0.0,1.0,299,0.85,0.85,50.17
1,1,100000000000000,-1,0.2,0.8,1204,-2.36,-2.36,39.12
1,1000000,100000000000000,-1,0.2,0.8,1204,-2.36,-2.36,39.12
1,10000000,100000000000000,-1,0.2,0.8,1122,-2.21,-2.21,40.64
1,10000000,1000000000,-1,0.2,0.8,823,-3.32,-3.32,37.18
1,50000000,10000000000,-1,0.2,0.8,885,-1.53,-1.53,42.37
1,100000000,1000000000000,-1,0.2,0.8,831,-0.6,-0.6,45.97
1,1000000000,100000000000000,-1,0.2,0.8,299,0.85,0.85,50.17
1,1,100000000000000,-1,0.4,0.6,1204,-2.36,-2.36,39.12
1,1000000,100000000000000,-1,0.4,0.6,1204,-2.36,-2.36,39.12
1,10000000,100000000000000,-1,0.4,0.6,1122,-2.21,-2.21,40.64
1,10000000,1000000000,-1,0.4,0.6,823,-3.32,-3.32,37.18
1,50000000,10000000000,-1,0.4,0.6,885,-1.53,-1.53,42.37
1,100000000,1000000000000,-1,0.4,0.6,831,-0.6,-0.6,45.97
1,1000000000,100000000000000,-1,0.4,0.6,299,0.85,0.85,50.17
1,1,100000000000000,-1,0.6,0.4,1204,-2.36,-2.36,39.12
1,1000000,100000000000000,-1,0.6,0.4,1204,-2.36,-2.36,39.12
1,10000000,100000000000000,-1,0.6,0.4,1122,-2.21,-2.21,40.64
1,10000000,1000000000,-1,0.6,0.4,823,-3.32,-3.32,37.18
1,50000000,10000000000,-1,0.6,0.4,885,-1.53,-1.53,42.37
1,100000000,1000000000000,-1,0.6,0.4,831,-0.6,-0.6,45.97
1,1000000000,100000000000000,-1,0.6,0.4,299,0.85,0.85,50.17
1,1,100000000000000,-1,0.7,0.3,1204,-2.36,-2.36,39.12
